=== FFI (Foreign Function & Memory API) Hits ===
Format: callerSig | lib | symbol | mechanism | jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_add_file_cert_subjects_to_stack(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_add_file_cert_subjects_to_stack | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: long BIO_ctrl_pending(java.lang.foreign.MemorySegment)> | ssl | BIO_ctrl_pending | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int DH_set0_pqg(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | DH_set0_pqg | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int X509_LOOKUP_ctrl(java.lang.foreign.MemorySegment,int,java.lang.foreign.MemorySegment,long,java.lang.foreign.MemorySegment)> | ssl | X509_LOOKUP_ctrl | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_in_init(java.lang.foreign.MemorySegment)> | ssl | SSL_in_init | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: long BIO_ctrl(java.lang.foreign.MemorySegment,int,long,java.lang.foreign.MemorySegment)> | ssl | BIO_ctrl | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: long SSL_CTX_get_options(java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_get_options | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment PEM_read_bio_Parameters(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | PEM_read_bio_Parameters | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int X509_STORE_CTX_get1_issuer(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | X509_STORE_CTX_get1_issuer | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment d2i_PKCS12_bio(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | d2i_PKCS12_bio | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_get0_alpn_selected(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_get0_alpn_selected | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment BN_get_rfc3526_prime_8192(java.lang.foreign.MemorySegment)> | ssl | BN_get_rfc3526_prime_8192 | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment X509_STORE_add_lookup(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | X509_STORE_add_lookup | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_get_privatekey(java.lang.foreign.MemorySegment)> | ssl | SSL_get_privatekey | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_get_ex_data_X509_STORE_CTX_idx()> | ssl | SSL_get_ex_data_X509_STORE_CTX_idx | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment OCSP_resp_get0(java.lang.foreign.MemorySegment,int)> | ssl | OCSP_resp_get0 | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment X509_STORE_CTX_get_ex_data(java.lang.foreign.MemorySegment,int)> | ssl | X509_STORE_CTX_get_ex_data | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_CTX_set_default_verify_paths(java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_set_default_verify_paths | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int X509_STORE_CTX_get_error(java.lang.foreign.MemorySegment)> | ssl | X509_STORE_CTX_get_error | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment EVP_MD_fetch(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | EVP_MD_fetch | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void OCSP_REQUEST_free(java.lang.foreign.MemorySegment)> | ssl | OCSP_REQUEST_free | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment X509_STORE_CTX_get0_store(java.lang.foreign.MemorySegment)> | ssl | X509_STORE_CTX_get0_store | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_CONF_CTX_finish(java.lang.foreign.MemorySegment)> | ssl | SSL_CONF_CTX_finish | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_CIPHER_get_kx_nid(java.lang.foreign.MemorySegment)> | ssl | SSL_CIPHER_get_kx_nid | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_CTX_set_cipher_list(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_set_cipher_list | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_set_info_callback(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_set_info_callback | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: long SSL_CTX_set_timeout(java.lang.foreign.MemorySegment,long)> | ssl | SSL_CTX_set_timeout | downcallHandle | tomcat-coyote-ffm.jar
