=== JNA Interface Mapping Hits ===
Format: callerSig | lib | symbol | interface | calleeSig | callerJar | calleeJar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.IOKit$IOService getMatchingService(com.sun.jna.platform.mac.CoreFoundation$CFDictionaryRef)> | System | mach_port_deallocate | com.sun.jna.platform.mac.SystemB | <com.sun.jna.platform.mac.SystemB: int mach_port_deallocate(int,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: int getMasterPort()> | IOKit | IOMasterPort | com.sun.jna.platform.mac.IOKit | <com.sun.jna.platform.mac.IOKit: int IOMasterPort(int,com.sun.jna.ptr.IntByReference)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.IOKit$IORegistryEntry getRoot()> | IOKit | IORegistryGetRootEntry | com.sun.jna.platform.mac.IOKit | <com.sun.jna.platform.mac.IOKit: com.sun.jna.platform.mac.IOKit$IORegistryEntry IORegistryGetRootEntry(int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.IOKit$IORegistryEntry getRoot()> | System | mach_task_self | com.sun.jna.platform.mac.SystemB | <com.sun.jna.platform.mac.SystemB: int mach_task_self()> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.IOKit$IORegistryEntry getRoot()> | System | mach_port_deallocate | com.sun.jna.platform.mac.SystemB | <com.sun.jna.platform.mac.SystemB: int mach_port_deallocate(int,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.IOKit$IOService getMatchingService(java.lang.String)> | IOKit | IOServiceMatching | com.sun.jna.platform.mac.IOKit | <com.sun.jna.platform.mac.IOKit: com.sun.jna.platform.mac.CoreFoundation$CFMutableDictionaryRef IOServiceMatching(java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.IOKit$IOIterator getMatchingServices(java.lang.String)> | IOKit | IOServiceMatching | com.sun.jna.platform.mac.IOKit | <com.sun.jna.platform.mac.IOKit: com.sun.jna.platform.mac.CoreFoundation$CFMutableDictionaryRef IOServiceMatching(java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.CoreFoundation$CFMutableDictionaryRef getBSDNameMatchingDict(java.lang.String)> | IOKit | IOBSDNameMatching | com.sun.jna.platform.mac.IOKit | <com.sun.jna.platform.mac.IOKit: com.sun.jna.platform.mac.CoreFoundation$CFMutableDictionaryRef IOBSDNameMatching(int,int,java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.CoreFoundation$CFMutableDictionaryRef getBSDNameMatchingDict(java.lang.String)> | System | mach_task_self | com.sun.jna.platform.mac.SystemB | <com.sun.jna.platform.mac.SystemB: int mach_task_self()> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.CoreFoundation$CFMutableDictionaryRef getBSDNameMatchingDict(java.lang.String)> | System | mach_port_deallocate | com.sun.jna.platform.mac.SystemB | <com.sun.jna.platform.mac.SystemB: int mach_port_deallocate(int,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.MacFileUtils: void moveToTrash(java.io.File[])> | CoreServices | FSPathMakeRefWithOptions | com.sun.jna.platform.mac.MacFileUtils$FileManager | <com.sun.jna.platform.mac.MacFileUtils$FileManager: int FSPathMakeRefWithOptions(java.lang.String,int,com.sun.jna.platform.mac.MacFileUtils$FileManager$FSRef,com.sun.jna.ptr.ByteByReference)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.MacFileUtils: void moveToTrash(java.io.File[])> | CoreServices | FSMoveObjectToTrashSync | com.sun.jna.platform.mac.MacFileUtils$FileManager | <com.sun.jna.platform.mac.MacFileUtils$FileManager: int FSMoveObjectToTrashSync(com.sun.jna.platform.mac.MacFileUtils$FileManager$FSRef,com.sun.jna.platform.mac.MacFileUtils$FileManager$FSRef,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.XAttrUtil: int removeXAttr(java.lang.String,java.lang.String)> | <null:default-c-lib> | removexattr | com.sun.jna.platform.mac.XAttr | <com.sun.jna.platform.mac.XAttr: int removexattr(java.lang.String,java.lang.String,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.XAttrUtil: int setXAttr(java.lang.String,java.lang.String,java.lang.String)> | <null:default-c-lib> | setxattr | com.sun.jna.platform.mac.XAttr | <com.sun.jna.platform.mac.XAttr: int setxattr(java.lang.String,java.lang.String,com.sun.jna.Pointer,long,int,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.XAttrUtil: java.lang.String getXAttr(java.lang.String,java.lang.String)> | <null:default-c-lib> | getxattr | com.sun.jna.platform.mac.XAttr | <com.sun.jna.platform.mac.XAttr: long getxattr(java.lang.String,java.lang.String,com.sun.jna.Pointer,long,int,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
