=== Skipped Methods (VerifyError/Exceptions during body building) ===
Format: methodSig | exceptionType | message
<org.apache.catalina.webresources.StandardRoot: org.apache.catalina.WebResourceSet createMainResourceSet()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.catalina.webresources.StandardRoot: void createWebResourceSet(org.apache.catalina.WebResourceRoot$ResourceSetType,java.lang.String,java.lang.String,java.lang.String,java.lang.String)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.el.lang.ELArithmetic: java.lang.Number mod(java.lang.Object,java.lang.Object)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.el.lang.ELArithmetic: java.lang.Number divide(java.lang.Object,java.lang.Object)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.jasper.JspC: void setThreadCount(java.lang.String)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.jasper.JspC: void execute()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.jasper.compiler.AntCompiler: org.apache.tools.ant.Project getProject()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.jasper.compiler.JspDocumentParser: org.apache.jasper.compiler.Node parseStandardAction(java.lang.String,java.lang.String,org.xml.sax.Attributes,org.xml.sax.Attributes,org.xml.sax.Attributes,org.apache.jasper.compiler.Mark)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.juli.FileHandler: void openWriter()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.naming.factory.SendMailFactory: java.lang.Object getObjectInstance(java.lang.Object,javax.naming.Name,javax.naming.Context,java.util.Hashtable)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.tomcat.jakartaee.MigrationTask: void execute()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.tomcat.jakartaee.commons.compress.archivers.zip.ZipFile: org.apache.tomcat.jakartaee.commons.compress.utils.BoundedArchiveInputStream createBoundedInputStream(long,long)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.tomcat.jakartaee.commons.compress.compressors.xz.XZCompressorInputStream: void <init>(org.apache.tomcat.jakartaee.commons.compress.compressors.xz.XZCompressorInputStream$Builder)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.tomcat.jakartaee.commons.compress.compressors.xz.XZCompressorInputStream: long skip(long)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
